Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Ahead,жилой комплекс,Новостройки,"улица Василисы Кожиной, вл25",,121096.0,,Филёвский парк район,Москва,,Москва,Россия,,+03:00,84992834898 (отдел продаж),,,,http://aheadmoscow.ru/?utm_source=2GIS_DIS_DRCT_OTR_CXD_MAP&utm_medium=BANNER&utm_campaign=RU_VSD_TACT_2022Q4NOV_NOV,,,,,,55.734005,37.492305,https://2gis.com/firm/70000001063579859
Ilove,жилой комплекс,Новостройки,"улица Годовикова, к5 стр",,129085.0,,Останкинский район,Москва,,Москва,Россия,,+03:00,84959339931 (многоканальный),,,,http://i-love.ru,,,,https://vk.com/zhkilove,,55.810478,37.624207,https://2gis.com/firm/70000001043093232
N’ice Loft,апарт-комплекс,Новостройки,"Автомобильный проезд, вл4 к1",,109029.0,,Нижегородский район,Москва,,Москва,Россия,,+03:00,84952665350,,,,http://nice-loft.ru/search?utm_source=2gis&utm_medium=article&utm_campaign=2gis.%D0%BD,,,,,,55.730192,37.695803000000005,https://2gis.com/firm/70000001048959989
Рафинад,жилой комплекс,Новостройки,"Rafinad жк, к8",,141402.0,Клязьма-Старбеево м-н,,Химки,Химки городской округ,Московская область,Россия,,+03:00,84952667405 (застройщик),,,,http://dom-rafinad.ru/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,,,,,,55.956811,37.450441,https://2gis.com/firm/70000001043399334
ALIA,строящийся жилой комплекс,Новостройки,"Лётная улица, 95Б к2",дом сдан,125424.0,,Покровское-Стрешнево район,Москва,,Москва,Россия,,+03:00,84952415777 (отдел продаж: пн-вс 9:00-21:00),,,office@alia.moscow,http://alia.moscow/live/?utm_source=2gis&utm_medium=geo&utm_campaign=geocontext_site_nov-2022&utm_term=0&utm_content=0_0_text%7Csale-3-mln_ad-image%7Csale-3-mln_0_0,,,,,,55.820494,37.423367999999996,https://2gis.com/firm/70000001040006881
Миниполис Серебрица,жилой комплекс,Новостройки,"Транспортная, к1 стр",,143444.0,Опалиха м-н,,Красногорск,Красногорск городской округ,Московская область,Россия,,+03:00,84952812980 (единый номер - пн-вс 9:00-21:00),,,,http://серебрица.рф/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,,,,,,55.830757,37.2355,https://2gis.com/firm/70000001041201984
Slava,строящиеся апартаменты премиум-класса,Новостройки,"Ленинградский проспект, вл8",,125040.0,,Беговой район,Москва,,Москва,Россия,,+03:00,84950327756 (отдел продаж),,,,http://slava-moscow.com/?utm_source=2Gis&utm_medium=maps_navigator&utm_campaign=Slava,,,,,,55.780204000000005,37.580524,https://2gis.com/firm/70000001051032687
Финский,жилой комплекс,Новостройки,"ЖК Финский, к3 стр",,141107.0,Финский м-н,,Щёлково,Щёлково городской округ,Московская область,Россия,,+03:00,84958461096 (отдел продаж),,,sales-mr@yit.ru,http://etalongroup.ru/msk/objects/moscow/finskiy/?utm_source=media_2gis&utm_medium=context&utm_campaign=msk_mgcom_media_FIN,,,,,,55.935625,37.975947,https://2gis.com/firm/70000001051073171
Символ,офис продаж,Новостройки,"Золоторожский Вал улица, 11 ст20/1",,111033.0,,Лефортово район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84951544392,,,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=ipoteka-0.7,,,,https://vk.com/dsinv,,55.750620999999995,37.685731,https://2gis.com/firm/70000001060563443
Событие,офис продаж,Новостройки,"улица Лобачевского, 114",,119361.0,,Раменки район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84951542218,,,,http://donstroy.moscow/objects/sobytie?utm_source=2Gis&utm_medium=cpm&utm_campaign=SOB-2022&utm_term=kartochka_sobytie&utm_content=dom_s_mostami,,,,https://vk.com/dsinv,,55.690751,37.478413,https://2gis.com/firm/70000001060563529
Republic,жилой комплекс,Новостройки,"Пресненский Вал улица, 27 ст2",,123557.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84951045685 (отдел продаж - пн-вс 9:00-21:00),,,,http://republic.forma.ru//?utm_source=2gis&utm_medium=cpm&utm_campaign=republic_2gis,,,,,,55.772767,37.570346,https://2gis.com/firm/70000001063314360
Событие,жилой комплекс бизнес-класса,Новостройки,"улица Лобачевского, к4/2",,119361.0,,Раменки район,Москва,,Москва,Россия,,+03:00,84951542218 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow,,,,https://vk.com/dsinv,,55.692925,37.477045000000004,https://2gis.com/firm/70000001056962342
ФСК,строящиеся объекты,Новостройки,"улица Шеногина, вл2 к5/1",,123308.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84953247290 (отдел продаж - пн-пт 9:00-18:00),,,info@fsk-lider.ru,http://fsk.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=mg_2gis_fsk_static_card_04-2022&utm_content=none&utm_term=card_fsk_none,,,,https://vk.com/gk_fsk,https://youtube.com/user/TheFsklider,55.767202000000005,37.505065,https://2gis.com/firm/70000001062088502
homecity,жилой комплекс,Новостройки,"22 километр Киевское шоссе, 6в к1",,108811.0,,Московский поселение,Москва,,Москва,Россия,,+03:00,84951321686,,,info@homecity.ru,http://homecity.ru,,,,https://vk.com/homecity,,55.63780799999999,37.429758,https://2gis.com/firm/70000001062732718
Символ,жилой комплекс,Новостройки,"Золоторожский Вал улица, вл11 к24",,111033.0,,Лефортово район,Москва,,Москва,Россия,,+03:00,"84951544392 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)","84956688897 (отдел продаж: пн-пт 9:00-21:00; сб, вс 10:00-20:00)",,,http://donstroy.moscow/objects/simvol?utm_source=2Gis&utm_medium=cpm&utm_campaign=SIM-2022&utm_term=kartochka_simvol&utm_content=semeynyye_kvartiry,http://jivo.chat/qYxYNkYoqP,,,https://vk.com/dsinv,,55.74933299999999,37.688354,https://2gis.com/firm/70000001056443003
Тетрис,жилой комплекс,Новостройки,"Большая Воскресенская, 1",,143402.0,Павшино м-н,,Красногорск,Красногорск городской округ,Московская область,Россия,,+03:00,84950328641 (отдел продаж - пн-вс 9:00-20:00),,,,http://tetris-kvartal.ru/?utm_source=2gis&utm_medium=banner&utm_campaign=2gis,,,,,,55.81669300000001,37.342397999999996,https://2gis.com/firm/70000001059441051
Чистые пруды,жилой комплекс,Новостройки,"Потаповский переулок, 5 ст4",,101000.0,,Басманный район,Москва,,Москва,Россия,,+03:00,84951813118 (отдел продаж - пн-вс 9:00-21:00),,,,http://chistye-prudy.ru/?utm_source=media&utm_medium=karta&utm_campaign=chistye_prudy%7C2gis.ru%7Cstatika%7C16.09.2022&utm_term=%D0%A1%D0%A0016%7Cprostornoe_roskoshnoe_lobbi&utm_content=800x600%7Carwm,,,,,,55.761685,37.641464,https://2gis.com/firm/70000001054424509
Остров,жилой комплекс,Новостройки,"жилой комплекс Остров, к1",,123308.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.751996999999996,37.4517,https://2gis.com/firm/70000001047763545
ПРОФИ-ИНВЕСТ,строящиеся объекты,Новостройки,"Хлебозаводская, 36",дом сдан,141281.0,,,Ивантеевка,Пушкинский городской округ,Московская область,Россия,,+03:00,84997098704,89670575747 (отдел продаж: пн-пт 10:00-20:00; сб 10:00-19:00; вс 10:00-16:00),,9792818@mail.ru,http://профи-инвест.рф,,,,,,55.972339,37.938860999999996,https://2gis.com/firm/70000001046943128
M_5,строящийся жилой дом,Новостройки,"Центральная, к1",,143405.0,Павшино м-н,,Красногорск,Красногорск городской округ,Московская область,Россия,,+03:00,84951519769 (отдел продаж: пн-вс 9:00-20:00),,,,http://m5.house,,,,,,55.812681000000005,37.35498,https://2gis.com/firm/70000001064631367
Champine,жилой комплекс,Новостройки,"Сосинская, 43 к1",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+03:00,84951537892,,,sales@champine.ru,http://champine.ru/?utm_source=2gis&utm_medium=maps&utm_campaign=2gis,,,,https://vk.com/champine_moscow,,55.726547,37.678664000000005,https://2gis.com/firm/70000001061509914
Forst,жилой комплекс,Новостройки,"Симоновская набережная, к1",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84951511955 (отдел продаж),,,sales@forma.ru,http://forst.forma.ru/?utm_source=2gis&utm_campaign=forst_2gis_october22,,,,,,55.705743999999996,37.632507000000004,https://2gis.com/firm/70000001057494983
Symphony 34,строящийся жилой комплекс,Новостройки,"2-я Хуторская улица, вл34 к С",,127287.0,,Савёловский район,Москва,,Москва,Россия,,+03:00,84951324017 (отдел продаж - пн-вс 9:00-21:00),,,,http://symphony34.com/?utm_source=2gis&utm_medium=cpm&utm_campaign=Symphony-34,,,,,,55.806073,37.571843,https://2gis.com/firm/70000001054802097
City Bay,жилой комплекс,Новостройки,"шоссе Волоколамское, вл95 к1",,125371.0,,Покровское-Стрешнево район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84950858327,,,mr@mr-group.ru,http://mr-group.ru/projects/zhk-citybay/?utm_source=2gis&utm_medium=cpm&utm_campaign=CityBay_Nectarin,,,,,,55.830619999999996,37.403512,https://2gis.com/firm/70000001051993997
MYPRIORITY Dubrovka,строящиеся объекты,Новостройки,"Шарикоподшипниковская улица, 13 ст2",,115088.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84958461548 (отдел продаж - пн-вс 9:00-21:00),,,,http://granelle.ru/objects/mypriority-dubrovka/?utm_source=2gis&utm_medium=banner&utm_campaign=mpdub,,,,,,55.717969,37.677356,https://2gis.com/firm/70000001061134416
Инновация,жилой комплекс,Новостройки,"бульвар Эйнштейна, 4",дом сдан,143026.0,,,,Одинцовский городской округ,Московская область,Россия,,+03:00,84952921557 (горячая линия - пн-вс 9:00-21:00),,,info@granelle.com,http://granelle.ru/objects/inn/?utm_source=2gis&utm_campaign=inn,,,,,,55.702137,37.365102,https://2gis.com/firm/70000001040380920
HighWay,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, 32 к21",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84958450924 (отдел продаж),,,,,,,,,,55.723881999999996,37.686366,https://2gis.com/firm/70000001053939024
Пехра,строящийся жилой комплекс,Новостройки,"Яганова, к3 стр",дом сдан,143909.0,,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,84952414770 (отдел продаж - пн-вс 9:00-21:00),,,,http://granelle.ru/objects/pehra/?utm_source=2gis&utm_campaign=pehra,,,,,,55.833951,37.953328000000006,https://2gis.com/firm/70000001047820808
Новая Рига,жилой комплекс,Новостройки,"Романовская улица, 19",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951262981 (отдел продаж - пн-вс 9:00-21:00),,,,http://granelle.ru/objects/riga/?utm_source=2gis&utm_campaign=riga,,,,,,55.767991,37.242678000000005,https://2gis.com/firm/70000001038048471
Бригантина,строящийся жилой комплекс,Новостройки,"Парковая, 54",дом сдан,141702.0,Гранитный м-н,,Долгопрудный,Долгопрудный городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84952416404 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/br/?utm_source=2gis&utm_campaign=br,,,,,,55.946332999999996,37.48383,https://2gis.com/firm/70000001034680230
Ильинойс,строящийся жилой комплекс,Новостройки,"ЖК Ильинойс, к1",,143405.0,,,Красногорск,Красногорск городской округ,Московская область,Россия,,+03:00,84958461492 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/ilinoys/?utm_source=2gis&utm_campaign=il,,,,,,55.80905,37.318559,https://2gis.com/firm/70000001059244558
Императорские Мытищи,жилой комплекс,Новостройки,"Тенистый бульвар, 14",дом сдан,141032.0,,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84952921561 (отдел продаж: пн-вс 9:00-21:00),,,info@granelle.com,http://granelle.ru/objects/mytishi/?utm_source=2gis&utm_campaign=im,,,https://twitter.com/gk_granelle,https://vk.com/granelle_group,https://youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw,55.955498999999996,37.68274,https://2gis.com/firm/70000001032896121
Profit,жилой комплекс,Новостройки,"Газгольдерная, вл8",,109052.0,,Нижегородский район,Москва,,Москва,Россия,,+03:00,84952921558,,,,http://www.granelle.ru/objects/profit/?utm_source=2gis&utm_campaign=per,,,,,,55.727231,37.734023,https://2gis.com/firm/70000001046084569
Живописный,строящийся жилой комплекс,Новостройки,"Живописный жилой комплекс, к4/1",,,,,,Ленинский городской округ,Московская область,Россия,,+03:00,84958461543 (единый номер - пн-вс 9:00-21:00),,,info@granelle.com,http://www.granelle.ru/objects/zhivopisnyj/?utm_source=2gis&utm_campaign=zhiv,,,,,,55.55483100000001,37.638436999999996,https://2gis.com/firm/70000001050884624
Тринити-2,строящийся жилой комплекс,Новостройки,"Дмитровское шоссе, вл71 к5",,127238.0,,Западное Дегунино район,Москва,,Москва,Россия,,+03:00,84952418806 (горячая линия - пн-вс 9:00-21:00),,,info@granelle.com,http://www.granelle.ru/objects/triniti2/?utm_source=2gis&utm_campaign=tri,,,,,,55.854834,37.557932,https://2gis.com/firm/70000001051231044
Аникеевский,строящийся жилой комплекс,Новостройки,"ЖК Аникеевский, вл1",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84958461549 (отдел продаж - пн-вс 9:00-21:00),,,,http://www.granelle.ru/objects/anikeevskij/?utm_source=2gis&utm_campaign=an,,,,,,55.818612,37.200002000000005,https://2gis.com/firm/70000001059098372
Катуар,жилой комплекс,Новостройки,"Егорова, 8",,141052.0,,,,Мытищи городской округ,Московская область,Россия,,+03:00,84953670598 (отдел продаж: пн-вс 10:00-19:00),,,katuar@ferrostroy.ru,http://katuar.ru/lp?utm_source=2GIS,,,,,,56.087357,37.512133,https://2gis.com/firm/70000001057189909
Kinetik,строящийся жилой комплекс,Новостройки,"Дмитровское шоссе, вл75-77",,125504.0,,Западное Дегунино район,Москва,,Москва,Россия,,+03:00,84998774619 (отдел продаж),,,,http://uds18.ru,http://dom-kinetik.ru,,,https://vk.com/uds_developer_msc,,55.858281000000005,37.556588,https://2gis.com/firm/70000001056308831
Остров,Офис продаж,Новостройки,"Нижние Мнёвники, 37а",,123308.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84951266819 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.75244300000001,37.455098,https://2gis.com/firm/70000001060167426
MYPRIORITY Basmanny,жилой комплекс,Новостройки,"Малая Почтовая, вл12",,105082.0,,Басманный район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84952921559 (отдел продаж),,,,http://www.granelle.ru/objects/mypriority/?utm_source=2gis&utm_campaign=mpb,,,,,,55.77220500000001,37.689509,https://2gis.com/firm/70000001054579207
Corner Lapino,строящийся коттеджный поселок,Новостройки,"шоссе Успенское 1-е, ст25/1",,143081.0,,,,Одинцовский городской округ,Московская область,Россия,,+03:00,88005506593,,,,http://mycorner.ru,,,,https://vk.com/mycorner_by_unistroy,,55.681378,37.141735,https://2gis.com/firm/70000001062539790
Матч Поинт,жилой комплекс,Новостройки,"улица Василисы Кожиной, 13",,121096.0,,Филёвский парк район,Москва,,Москва,Россия,,+03:00,84951850253,,,,http://hals-development.ru/realty/object/matchpointhouse/?utm_source=2gis&utm_medium=cpm&utm_campaign=adv_2gis_matchpoint_may22_static_mmo~njdlnjyy&utm_content=product|match-point|audience|general|ad_format|,,,,,,55.736165,37.499576,https://2gis.com/firm/70000001046774487
Зиларт,жилой комплекс,Новостройки,"Автозаводская улица, вл23 к9",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84950210425,,,,http://www.lsr.ru/msk/zhilye-kompleksy/zilart/?utm_source=2gis&utm_medium=tgb_msk_Igronik&utm_campaign=lsr.ru_zilart-2gis,,,,,,55.699118000000006,37.640916,https://2gis.com/firm/70000001042927894
Сердце Столицы,строящийся жилой комплекс,Новостройки,"Шелепихинская набережная, 34 к7",,123290.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84951266819 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/serdtse-stolitsy?utm_source=2Gis&utm_medium=cpm&utm_campaign=moscowheart-2022&utm_term=kartochka_ss&utm_content=ipoteka-0.7,,,,https://vk.com/dsinv,,55.764629000000006,37.511635,https://2gis.com/firm/70000001056441434
Око,бизнес-центр,Бизнес-центры,"1-й Красногвардейский проезд, 21 ст1",,123112.0,,Пресненский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84992860096,,,,,,,,,,55.750195999999995,37.534932,https://2gis.com/firm/70000001020844709
D1,жилой комплекс,Новостройки,"Дмитровский проезд, 1",,127422.0,,Тимирязевский район,Москва,,Москва,Россия,,+03:00,84959660766 (отдел продаж - пн-вс 8:00-21:00),,,,http://www.d1-dom.ru,http://www.mr-group.ru/projects/zhk-mod/?type=12&utm_source=2gis&utm_medium=fix&utm_campaign=a182%7Cmod,,,,,55.808873999999996,37.578514,https://2gis.com/firm/70000001033238639
Ривер Парк,жилой комплекс,Новостройки,"Корабельная, к4",,115407.0,,Нагатинский Затон район,Москва,,Москва,Россия,,+03:00,84950235629,,,,http://river-park.ru,,,,,,55.688008999999994,37.700241,https://2gis.com/firm/70000001052592749
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32 к8",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.721045,37.688365000000005,https://2gis.com/firm/70000001057614493
Capital Towers,жилой комплекс,Новостройки,"Краснопресненская набережная, вл14 ст1",,123100.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,,,,,http://capitaltowers.ru/?utm_source=2gis&utm_medium=kartochka&utm_campaign=media,,,,,,55.752106000000005,37.548724,https://2gis.com/firm/70000001030991916
Turandot residences,жилой комплекс,Агентства недвижимости,"улица Арбат, 24",,119002.0,,Арбат район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84951208808,,,,http://turandot-residence.ru,,,,,https://youtube.com/channel/UC_8-UiQmHHnX3JmW-Hqvc3A,55.750333,37.59218,https://2gis.com/firm/70000001049139778
ОКО,апартаменты,Новостройки,"1-й Красногвардейский проезд, 21 ст2",8-82 этаж,123112.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84952369305,,,,http://okotower.com/?utm_source=2gis&utm_medium=kartochka&utm_campaign=media,,,,,,55.749423,37.534394,https://2gis.com/firm/70000001033176790
Селигер Сити,строящийся жилой комплекс,Новостройки,"Ильменский проезд, 14 ст8 стр",,125504.0,,Западное Дегунино район,Москва,,Москва,Россия,,+03:00,84953246408,,,,http://www.mr-group.ru/projects/zhk-seliger-siti/?utm_source=2gis&utm_medium=fix&utm_campaign=a182%7Cseliger,,,,,,55.859917,37.546818,https://2gis.com/firm/70000001048885144
Зиларт,жилой комплекс,Новостройки,"Архитектора Щусева, к11 стр",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84950210425,,,,http://www.lsr.ru/msk/zhilye-kompleksy/zilart/?utm_source=2gis&utm_medium=tgb_msk_Igronik&utm_campaign=lsr.ru_zilart-2gis,,,,,,55.69890600000001,37.630429,https://2gis.com/firm/70000001048951978
Метрополия,строящийся жилой комплекс,Новостройки,"Волгоградский проспект, вл32 к4 стр",,109316.0,,Южнопортовый район,Москва,,Москва,Россия,,+03:00,84951812135 (отдел продаж - пн-вс 9:00-21:00),,,,http://metropolia-kvartal.ru,,,,,,55.720709,37.689382,https://2gis.com/firm/70000001044219196
Afi tower,Отдел продаж,Новостройки,"проезд Серебрякова, 11-13 к1",,129343.0,,Свиблово район,Москва,,Москва,Россия,,+03:00,84950213478,,,,http://afitower.ru,,,,,,55.848834,37.650344,https://2gis.com/firm/70000001028295689
Саяны-парк,жилой комплекс,Агентства недвижимости,"Ярославское шоссе, 116 к2",,129337.0,,Ярославский район,Москва,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+03:00,,,,,http://жк-саяны.рф,,,,,,55.86701,37.709527,https://2gis.com/firm/70000001044759970
Level Причальный,строящийся жилой комплекс,Новостройки,"Причальный проезд, вл8",,123290.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951042340,,,,http://level.ru/projects/prichalniy,,,,https://vk.com/levelgroupdeveloper,,55.76039300000001,37.517408,https://2gis.com/firm/70000001044298238
